oxide,g_pbx (eV/atom),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,EA (eV),IP (eV),r_cov (AA),EN (Pauling),N_val,N_unf,CE (eV),max_OS,stdev_OS
Mg2V2O7,0.2093432015253561,1.1103833333333333,0.7545166666666668,-7.220416671429071,0.4681100003087539,14.333333333333334,0.949369190909091,11.282839181818185,0.9545454545454546,2.723636363636363,5.090909090909091,2.5454545454545454,-5.23067943933529,5,3.8446391248074248
Mn2Mo3O8,0.432502325399519,1.1058500000000002,0.5190833333333333,-7.263186671457281,0.2644733335077736,25.0,0.9916024923076924,11.160754307692308,0.9753846153846154,2.853846153846154,6.153846153846154,3.3846153846153846,-6.95150004162108,6,3.567795771434608
MoNa2O4,0.1769933034687701,1.2483833333333336,0.9674833333333334,-6.770173337798769,0.4373066669551035,20.33333333333333,1.0982291000000002,10.263257702857144,1.0714285714285714,2.54,4.571428571428571,2.2857142857142856,-6.401122552501875,6,3.6742346141747673
MgO2,0.7171505410370296,0.9055,0.8906000000000001,-8.6655850057156,1.2855950008479466,10.0,0.8340702,11.627448666666666,0.91,2.73,4.666666666666667,1.3333333333333333,-1.4994984653330905,0,0.0
MgMoO4,0.1643406191289932,1.1172833333333336,0.8363833333333334,-7.387600004872674,0.4748933336465614,20.666666666666668,1.0286252,11.535147666666669,0.9316666666666668,2.8716666666666666,5.333333333333333,2.333333333333333,-6.834178601335226,6,4.320493798938573
MnTiO3,0.1341259185121489,1.12555,0.4574833333333333,-7.104316671352495,0.1987166667977355,18.33333333333333,0.78777218,11.0232646,0.994,2.682,5.8,3.8,-7.901825004953078,4,3.3806170189140663
MoO3,-0.092089465457724,0.9995000000000004,0.5781499999999999,-8.56027500564614,1.097550000723917,25.0,1.282661475,11.98664875,0.88,3.12,6.0,3.0,-5.334680136002135,6,5.656854249492381
Mn3O4,0.0965890886143613,0.8883500000000001,0.4146499999999999,-8.47896500559251,0.969965000639765,16.5,0.6120601714285715,10.967762,0.972857142857143,2.63,6.428571428571429,3.2857142857142856,-1.6168199056189445,4,3.1622776601683795
MnO,0.6084253549812362,0.8883500000000001,0.4146499999999999,-8.47896500559251,0.969965000639765,16.5,0.47055265,10.5260465,1.025,2.495,6.5,3.5,-1.6168199056189445,2,2.8284271247461903
Mn2O3,0.0807597598452447,0.8883500000000001,0.4146499999999999,-8.47896500559251,0.969965000639765,16.5,0.66866318,11.1444482,0.952,2.684,6.4,3.2,-1.6168199056189445,4,3.3806170189140663
Mo4NaO6,1.305244253279548,1.2483833333333336,0.9674833333333334,-6.770173337798769,0.4373066669551035,20.33333333333333,1.1185343681818185,10.474284269090909,1.070909090909091,2.746363636363637,5.545454545454546,3.363636363636364,-6.401122552501875,3,2.88519051785568
Mg3V2O8,0.2848499562239431,1.1103833333333333,0.7545166666666668,-7.220416671429071,0.4681100003087539,14.333333333333334,0.8833974153846154,11.18273246153846,0.966923076923077,2.67,4.923076923076923,2.3076923076923075,-5.23067943933529,5,3.644531341016589
MoNa4O5,0.5188384658731217,1.2483833333333336,0.9674833333333334,-6.770173337798769,0.4373066669551035,20.33333333333333,1.02445615,9.573901284000002,1.148,2.308,4.0,2.0,-6.401122552501875,6,3.2163376045133845
MoO2,0.532991950644894,0.9995000000000004,0.5781499999999999,-8.56027500564614,1.097550000723917,25.0,1.2231802,11.442846666666666,0.9533333333333333,3.013333333333333,6.0,3.333333333333333,-5.334680136002135,4,4.242640687119285
Mn2TiO4,0.2435625931453924,1.12555,0.4574833333333333,-7.104316671352495,0.1987166667977355,18.33333333333333,0.6971380285714286,10.881202285714286,1.002857142857143,2.628571428571429,6.0,3.7142857142857135,-7.901825004953078,4,3.1622776601683795
MgVO3,0.3493203876934821,1.1103833333333333,0.7545166666666668,-7.220416671429071,0.4681100003087539,14.333333333333334,0.8981955800000001,11.0493176,0.984,2.652,5.0,2.6,-5.23067943933529,4,3.3806170189140663
MnMoO4,0.4581924518071929,1.1058500000000002,0.5190833333333333,-7.263186671457281,0.2644733335077736,25.0,1.0119585333333334,11.499781333333331,0.9283333333333332,2.911666666666666,6.166666666666667,3.1666666666666665,-6.95150004162108,6,4.320493798938573
Mg2Mo3O8,0.5481976607345745,1.1172833333333336,0.8363833333333334,-7.387600004872674,0.4748933336465614,20.666666666666668,1.0069871076923078,11.193400153846154,0.9784615384615384,2.8169230769230773,5.384615384615385,2.6153846153846154,-6.834178601335226,6,3.567795771434608
MgO,0.8981310516448546,0.9055,0.8906000000000001,-8.6655850057156,1.2855950008479466,10.0,0.5205526500000001,10.6321455,1.035,2.375,4.0,1.0,-1.4994984653330905,2,2.8284271247461903
MnO2,-0.0499854985070629,0.8883500000000001,0.4146499999999999,-8.47896500559251,0.969965000639765,16.5,0.8007368666666667,11.556716,0.9033333333333332,2.81,6.333333333333333,3.0,-1.6168199056189445,4,4.242640687119285
MoSrO4,0.0537050333503657,1.3222833333333337,1.041383333333333,-6.943236671246249,0.4314833336179293,29.33333333333333,1.1073028666666669,11.209919575,1.0216666666666667,2.811666666666667,5.333333333333333,2.333333333333333,-6.86054324634218,6,4.320493798938573
NbO,2.626723090785843,1.0344,0.609,-8.49000500559979,0.9991800006590346,24.5,1.18925615,10.1884525,1.15,2.52,5.5,4.5,-6.270872641995084,2,2.8284271247461903
NbO2,0.5113642605100449,1.0344,0.609,-8.49000500559979,0.9991800006590346,24.5,1.2798725333333334,11.331653333333334,0.9866666666666668,2.8266666666666667,5.666666666666667,3.6666666666666665,-6.270872641995084,4,4.242640687119285
NiO,0.1561386552459614,0.9061,0.3843999999999999,-8.087905005334576,2.524395001665028,18.0,1.30913325,10.6289665,0.95,2.675,8.0,2.0,-4.536040758997842,2,2.8284271247461903
NiTiO3,0.0104222385592013,1.1373833333333334,0.4373166666666666,-6.843610004513873,1.2350033341479107,19.33333333333333,1.1232044200000002,11.0644326,0.964,2.754,6.4,3.2,-10.821045858331974,4,3.3806170189140663
NaO2,0.8658664487082715,1.10215,1.08725,-7.739445005104741,1.22921500081076,9.5,1.1567122833333334,10.791728986666666,0.9933333333333332,2.603333333333333,4.333333333333333,1.6666666666666667,-1.06644241649974,0,0.0
Na2O,1.6036762117051673,1.10215,1.08725,-7.739445005104741,1.22921500081076,9.5,0.8523192666666666,7.965402973333333,1.3266666666666669,1.7666666666666666,2.6666666666666665,1.3333333333333333,-1.06644241649974,1,2.1213203435596424
Na3VO4,0.3583821389899173,1.2414833333333333,0.8856166666666666,-6.602990004355166,0.430523333617296,14.0,1.00198274375,9.579454735,1.14375,2.2725,4.0,2.25,-4.79762339050194,5,3.0435436410107286
Nb2O5,-0.0223795569562429,1.0344,0.609,-8.49000500559979,0.9991800006590346,24.5,1.3057629285714287,11.658282142857145,0.94,2.914285714285714,5.714285714285714,3.4285714285714284,-6.270872641995084,5,4.949747468305833
NaO3,0.6838759989924141,1.10215,1.08725,-7.739445005104741,1.22921500081076,9.5,1.2328105375,11.49831049,0.91,2.8125,4.75,1.75,-1.06644241649974,0,0.0
NaO,0.5121373019075661,1.10215,1.08725,-7.739445005104741,1.22921500081076,9.5,1.004515775,9.37856598,1.16,2.185,3.5,1.5,-1.06644241649974,0,0.0
OsO4,-0.1943509609231911,0.8795000000000001,0.5712,-8.996985005934183,1.6197500010683468,42.0,1.3844445,12.58209,0.816,3.192,9.2,2.4,-8.437679186463356,8,7.071067811865476
OsO2,0.3239182682053186,0.8795000000000001,0.5712,-8.996985005934183,1.6197500010683468,42.0,1.3333373,11.891446666666669,0.92,3.026666666666667,11.333333333333334,2.6666666666666665,-8.437679186463356,4,4.242640687119285
PtO2,-0.1379109246593279,0.8974,0.5505500000000001,-8.81307500581288,-0.3774600002489625,43.0,1.6824385333333334,12.06498,0.8933333333333333,3.053333333333333,12.0,2.0,-5.421979548991658,4,4.242640687119285
PdO,-0.1068607770148457,0.9693000000000004,0.5042,-8.678980005724435,0.3288750002169178,27.0,1.01162325,10.977447,1.025,2.8200000000000003,8.0,1.0,-3.049890772992512,2,2.8284271247461903
O5P2,0.5841624773408353,0.6461,0.69505,-9.713575006406828,0.1299650000857217,11.5,1.256962957142857,12.723378142857143,0.7771428571428571,3.0828571428571427,5.714285714285714,2.2857142857142856,-3.368398509214222,5,4.949747468305833
